INDEX	LAE	BF	D100	ADG
C712	39.23	20.3	135.87	0.74
C714	40.23	15.5	119.25	0.84
C715	46.33	11.8	145.43	0.69
C716	38.78	19.7	116.77	0.86
C718	37.15	17.1	176.42	0.57
C719	41.67	14.9	131.81	0.76
C72	37.91	13.5	126.5	0.79
C720	40.31	14.8	143.58	0.7
C727	36.4	13	146.58	0.68
C728	35.66	16.7	176.25	0.57
C731	44.76	16.2	148.52	0.67
C735	44.79	17.9	145.06	0.69
C738	57.08	10.4	137.23	0.73
C739	47.52	16.5	129.52	0.77
C740	47.15	13	116.07	0.86
C741	47.64	11.8	141.87	0.7
C743	45.36	12.9	127.63	0.78
C744	52.41	12.9	128.43	0.78
C753	50.95	8.7	115.63	0.86
C754	52.11	18.6	134.82	0.74
C755	42.98	17.6	123.16	0.81
C756	44.56	16.4	108.2	0.92
C759	44.39	14.6	109.42	0.91
C76	45.64	16.3	127.96	0.78
C760	47.26	11.1	121.06	0.83
C764	57.65	12.2	130.74	0.76
C765	45.18	12.7	115.63	0.86
C766	54.34	11.6	139.62	0.72
C77	39.64	16.7	165.94	0.6
C772	42.87	9.9	138.13	0.72
C773	43.11	14	128.43	0.78
C774	47.18	13.3	135.12	0.74
C776	40.48	18.3	164.31	0.61
C783	48.33	11.4	139.03	0.72
C786	41.03	18.2	132.71	0.75
C79	52.75	13.6	140.51	0.71
C790	42.47	17	132.43	0.76
C791	37.97	23.4	105.24	0.95
C792	41.77	14.4	153.75	0.65
C793	44.1	26.3	117.17	0.85
C796	43.19	18.1	108.11	0.93
C797	33.74	15.4	125.99	0.79
C799	50.82	14.3	148.7	0.67
C80	47.76	14.8	130.58	0.77
C801	42.05	12.8	136.61	0.73
C803	47.73	18.4	133.07	0.75
C81	43.16	10	137.81	0.73
C817	40.5	19	132.71	0.75
C822	43.16	13.9	147.57	0.68
C829	47.97	13.8	124.91	0.8
C83	44.54	15.4	139.34	0.72
C832	46.18	14.2	126.59	0.79
C834	44.41	19.8	139.66	0.72
C84	51.9	13.6	129.39	0.77
C87	48.81	17.4	142.86	0.7
C88	47.97	16.1	132.12	0.76
C92	42.32	18.7	121.17	0.83
C94	42.39	10.9	136.71	0.73
C98	42.89	20.6	139.03	0.72
C99	41.73	12.6	112.83	0.89
D1	36.04	15.84	171.65	0.58
D10	49.45	16.74	152.18	0.66
D1002	38.4	17.46	154.85	0.65
D1005	39.13	19.56	148.01	0.68
D1006	40.86	11.09	168.71	0.59
D1008	34.29	18.77	153.7	0.65
D101	41.83	17.85	166.45	0.6
D1010	42.97	19.53	147.38	0.68
D1014	43.25	22.63	145.83	0.69
D102	35.54	13.53	159.29	0.63
D1027	35.52	17.35	146.06	0.68
D1029	36.13	20.45	183.91	0.54
D1033	41.13	16.09	164.02	0.61
D104	39.87	18.21	152.85	0.65
D1041	42.74	15.01	153.51	0.65
D1050	35.53	16.55	166.3	0.6
D1053	37.61	18.98	163.23	0.61
D1056	38.27	19.05	163.62	0.61
D106	43.01	17.55	158.17	0.63
D1060	36.55	15.99	144.01	0.69
D1061	44.23	19.58	148.41	0.67
D1063	36.61	20.49	144.01	0.69
D1066	34.47	17.9	154	0.65
D1067	43.89	15.13	146.53	0.68
D1068	40.09	14.01	139.1	0.72
D1069	42.86	15.2	154.93	0.65
D107	42.78	20	176.73	0.57
D1073	33.32	17.76	135.54	0.74
D1076	40.43	13.95	169.03	0.59
D1078	40.43	12.13	162.45	0.62
D1081	38.89	13.05	162.5	0.62
D1084	39.05	13.06	157.78	0.63
D1085	40.44	14.39	138.72	0.72
D1088	39.08	16.64	164.03	0.61
D1089	35.28	14.02	150.53	0.66
D1090	41.55	16.96	150.35	0.67
D1091	41.49	12.43	157.98	0.63
D1092	36.75	14.31	155.23	0.64
D1093	33.93	16.4	128	0.78
D1098	37.18	16.47	153.88	0.65
D1099	36.68	16.97	144.51	0.69
D11	42.47	12.54	175.14	0.57
D110	36.79	17.23	165.2	0.61
D1110	37.57	14.94	146.28	0.68
D1112	40.91	21.49	150.76	0.66
D1114	33.8	18.38	164.55	0.61
D1115	39	14.22	153.71	0.65
D1116	46.54	11.64	171.27	0.58
D1117	43.9	14.06	161.05	0.62
D1118	35.71	15.96	149.81	0.67
D1119	36.29	17.71	164.07	0.61
D112	30.27	12.27	169.69	0.59
D1121	29.78	16.24	145.3	0.69
D113	39.41	20.52	153.18	0.65
D12	40.1	16.87	165.54	0.6
D127	35.11	18.91	175.1	0.57
D13	36.47	15.71	183.62	0.54
D130	31.46	14.62	168.24	0.59
D132	33.88	19.71	152.43	0.66
D138	43.01	18.28	161.03	0.62
D143	32.62	19.86	166.96	0.6
D152	42.19	15.52	157.64	0.63
D153	36.08	18.11	162.06	0.62
D154	55.95	16.9	166.08	0.6
D157	35.37	14.5	167.13	0.6
D159	40.53	20.45	159.57	0.63
D16	32.56	14.8	159.82	0.63
D160	35.83	16.07	150.82	0.66
D163	27.84	18.85	171.2	0.58
D166	38.61	17.95	144.77	0.69
D168	35.67	19.23	167.21	0.6
D169	35.82	22.03	165.18	0.61
D170	36.96	14.65	167.71	0.6
D172	31.02	15.67	167.88	0.6
D173	34.96	19.13	167.02	0.6
D176	27.98	19.67	181.88	0.55
D178	39.14	23.03	167.86	0.6
D179	38.8	15.84	167.92	0.6
D181	44.85	15.65	164.41	0.61
D182	36.7	20.23	168.86	0.59
D187	31.81	18.39	159.48	0.63
D188	37.09	22.42	165.79	0.6
D19	41.41	14.18	168.89	0.59
D190	44.69	17.13	165.74	0.6
D191	36.84	18.22	159.33	0.63
D193	38.99	15.26	163.42	0.61
D194	35.77	20.38	155.68	0.64
D195	39.38	15.8	162.81	0.61
D197	45.32	16.85	171.27	0.58
D20	45.64	15.73	163.77	0.61
D200	31.85	16.04	184.34	0.54
D203	36.83	16.52	173.8	0.58
D207	45.52	14.39	176.97	0.57
D208	35.44	16.33	170.41	0.59
D209	41.46	16.64	154.81	0.65
D215	41.99	16.09	179.58	0.56
D217	44.09	21.45	165.36	0.6
D218	34.48	19.88	163.14	0.61
D222	34.18	18.98	164.21	0.61
D223	34.84	11.91	174.38	0.57
D225	36.21	20.02	168.26	0.59
D226	46.5	12	160.97	0.62
D23	36.65	9.31	160.97	0.62
D231	33.75	15.33	164.29	0.61
D236	35.05	15.36	159.25	0.63
D239	36.88	15.05	159.68	0.63
D24	35.32	17.86	162.94	0.61
D241	41.67	16.6	160.23	0.62
D243	42.2	14.97	158.16	0.63
D249	37.64	19.05	159.24	0.63
D250	43.84	17.48	176.02	0.57
D254	42.82	13.1	156.32	0.64
D259	37.4	15.9	164.94	0.61
D26	40.36	13.27	176.03	0.57
D260	30.56	23	172.74	0.58
D262	36.64	21.2	145.42	0.69
D263	35.02	19.78	174.98	0.57
D27	42.2	19.31	150.11	0.67
D271	36.91	15.47	148.66	0.67
D273	35.78	17.5	166.17	0.6
D277	38.49	19.79	168.25	0.59
D279	39.87	18.16	160.56	0.62
D280	36.81	17.46	167.92	0.6
D281	39.99	9.86	171.91	0.58
D283	39.22	25.88	191.83	0.52
D284	43.28	16.31	164.42	0.61
D286	36.19	14.97	153.65	0.65
D287	36.83	12.93	174.96	0.57
D289	43.64	9.85	161.27	0.62
D290	40.01	16.65	166.49	0.6
D294	38.17	12.27	151.86	0.66
D297	36.46	19.58	177.9	0.56
D298	46.37	15.28	156.52	0.64
D299	42.25	16.78	162.39	0.62
D305	40.71	25.77	168.8	0.59
D306	40.31	16.99	164.16	0.61
D309	46.52	16.62	149.31	0.67
D310	32.99	15.46	163.47	0.61
D315	36.6	14.38	172.57	0.58
D320	42.29	20.4	177.05	0.56
D322	50.91	16.17	164.84	0.61
D326	35.19	17.74	178.39	0.56
D327	44.93	14.81	176.05	0.57
D328	37.17	16.65	191.35	0.52
D330	42.83	12.07	169.34	0.59
D332	41.96	18.3	161.67	0.62
D334	39.34	13.85	152.25	0.66
D335	32.68	12.97	172.33	0.58
D336	39.94	13.97	159.7	0.63
D342	40.85	15.35	153.65	0.65
D343	39.05	12.08	155.47	0.64
D345	35.02	15.35	169.08	0.59
D347	33.49	12.81	174.64	0.57
D353	41.47	11.06	164.82	0.61
D355	33.95	15.86	153.06	0.65
D356	35.86	11.13	171.01	0.58
D361	30.86	17.88	184.25	0.54
D366	47.37	16.65	162.12	0.62
D367	37.12	13.18	165.66	0.6
D368	47.98	14.49	159.88	0.63
D373	42.43	15.81	160.71	0.62
D375	44.17	18.05	168.14	0.59
D377	37.28	12.19	166.27	0.6
D378	44.27	21.71	170.3	0.59
D380	39.78	13.93	171.24	0.58
D381	41.09	15.57	184.32	0.54
D382	44.79	17.05	164.75	0.61
D385	36.38	10.24	163.93	0.61
D386	37.59	19.99	165.48	0.6
D387	46.69	13.88	155.49	0.64
D389	36.04	19.01	166.61	0.6
D391	37.76	16.8	180	0.56
D394	36.07	16.86	156.33	0.64
D395	43.94	16.11	140.21	0.71
D396	36.07	14.41	173.52	0.58
D397	34.98	14.87	153.45	0.65
D4	36.99	14.62	166.58	0.6
D400	38.15	17.57	154.93	0.65
D402	34.56	12.67	145.48	0.69
D404	39.09	15.74	143.9	0.69
D408	36.54	19.07	145.26	0.69
D413	35.64	19.04	170.14	0.59
D415	35.78	16.26	157.2	0.64
D424	40.7	17.6	146	0.68
D427	34.9	18.29	145.68	0.69
D430	33.92	16	159.25	0.63
D431	38.56	19.37	151.99	0.66
D432	45.39	13.89	158.34	0.63
D434	36.35	14.76	173.78	0.58
D435	34.58	17.35	149.99	0.67
D437	44.37	18.66	160.29	0.62
D439	38.21	17.68	154.25	0.65
D440	43.37	13.93	163.37	0.61
D441	36.6	16.89	156.81	0.64
D443	39.6	15.07	174.38	0.57
D444	34.36	16.75	152.91	0.65
D457	36.67	16.58	156.84	0.64
D459	42.24	13.91	161.75	0.62
D474	37.68	16.39	167.23	0.6
D477	45.89	18.62	169.51	0.59
D512	37.06	12.86	165.04	0.61
D513	32.7	20.28	178.97	0.56
D554	38.34	12.48	165.09	0.61
D557	42.45	17.54	164.03	0.61
D584	37.57	16.2	161.7	0.62
D594	41.84	16.15	156.72	0.64
D6	39.1	16.33	160.71	0.62
D605	38.16	16.26	151.04	0.66
D617	40.15	15.77	160.76	0.62
D620	39.52	13.93	163.33	0.61
D621	37.08	18.28	158.47	0.63
D633	39.43	13.19	151.55	0.66
D634	42.3	15.05	160.63	0.62
D635	39.83	18.64	141.04	0.71
D641	37.18	16.38	153.4	0.65
D645	39.08	16.62	160.29	0.62
D648	42.38	18.46	160.51	0.62
D654	38.7	15.88	170.63	0.59
D656	40.05	19.33	151.67	0.66
D661	35.21	15.84	166.14	0.6
D662	33.51	18.47	167.98	0.6
D668	33.32	20	152.54	0.66
D670	45.94	14.83	159.81	0.63
D679	38.6	16.15	156.92	0.64
D681	35.9	17.89	147.73	0.68
D683	37.62	15.66	166.42	0.6
D704	39.81	15.06	147.61	0.68
D713	43.67	12.77	161.37	0.62
D726	36.85	15.21	175.82	0.57
D771	36.08	16.74	170.73	0.59
D786	45.49	15.4	146.04	0.68
D789	37.09	16.15	149.75	0.67
D792	46.77	18.17	150.01	0.67
D794	40.29	19.19	161.47	0.62
D799	34.09	20.12	139.03	0.72
D801	38.43	16.4	157	0.64
D811	39.29	16.98	149.58	0.67
D812	36.28	14.35	138.69	0.72
D819	36.64	12.75	153.9	0.65
D825	36.4	24.96	153.66	0.65
D830	36.75	17.82	180.34	0.55
D834	34.46	14.91	151.25	0.66
D855	34.23	10.24	166.42	0.6
D857	34.29	17.78	158.13	0.63
D865	31.98	21.05	147.26	0.68
D896	41.75	16.41	143.48	0.7
D902	34.48	19.71	155.04	0.64
D91	36.87	21.32	176.97	0.57
D915	38.37	20.07	161.75	0.62
D921	35.62	16.36	153.33	0.65
D922	43.08	14.32	149.2	0.67
D927	39.69	15.31	153.93	0.65
D93	39.32	11.82	166.55	0.6
D930	34.43	28.53	178.71	0.56
D931	43.65	22.85	162.51	0.62
D94	29.39	20.32	179.95	0.56
D946	47.68	15.81	165.18	0.61
D956	43.34	16.49	163.08	0.61
D957	44.71	14.64	145.75	0.69
D959	44.21	16.39	157.72	0.63
D962	37.79	18.35	161.69	0.62
D964	39.35	19.79	165.65	0.6
D966	36.68	19.02	164.76	0.61
D967	34.4	13.51	163.81	0.61
D969	39.05	13.17	156.96	0.64
D970	42.97	19.46	143.44	0.7
D973	39.86	16.05	173.39	0.58
D974	41.07	14.95	166.96	0.6
D976	40.18	19.71	143.67	0.7
D977	41.18	13.78	159.61	0.63
D982	42.16	18.58	179.41	0.56
D988	45.63	17.31	157.62	0.63
D993	27.67	25.13	187.59	0.53
D995	39.3	13.02	176.55	0.57
D996	32.37	19.86	141.98	0.7
D997	34.8	19.73	144.52	0.69
E1	39.03	16.9	144	0.69
E10	45.14	12.7	146	0.68
E11	46.91	10.1	136	0.74
E12	37.01	13.9	159	0.63
E13	46.43	13.2	156	0.64
E14	38.81	18.2	148	0.68
E15	48.21	11	152	0.66
E16	49.41	11.6	149	0.67
E17	38.6	14.1	165	0.61
E18	46.98	19.2	162	0.62
E19	52.71	15.3	155	0.65
E2	40.46	10.9	149	0.67
E20	45.05	12.2	169	0.59
E21	42.4	11.6	129	0.78
E22	41.53	11.9	166	0.6
E24	44.34	11.3	190	0.53
E25	53.84	14	158	0.63
E26	42.88	17.7	141	0.71
E27	47.06	10.4	158	0.63
E28	40.69	12.2	150	0.67
E289	42.98	10.1	138	0.72
E29	40.12	17	165	0.61
E290	41.95	14.9	139	0.72
E291	38.39	16.9	165	0.61
E292	43.59	16.6	156	0.64
E293	46.15	12.5	147	0.68
E294	46.6	15.2	170	0.59
E295	47.15	16.3	146	0.68
E296	42.31	11.9	150	0.67
E297	38.37	15.5	134	0.75
E298	44.77	16.9	146	0.68
E299	42.22	13	148	0.68
E3	53.29	9.9	152	0.66
E30	41.56	17.1	140	0.71
E300	42.31	17.4	153	0.65
E301	42.75	12.8	164	0.61
E302	44.38	13.2	144	0.69
E303	47.02	13	147	0.68
E304	55.52	16.1	141	0.71
E305	46.13	13	158	0.63
E306	46.03	11	144	0.69
E307	38.64	13	146	0.68
E308	46.42	12.4	149	0.67
E309	35.84	18.2	144	0.69
E31	40.72	15.9	134	0.75
E310	48.7	13	146	0.68
E311	42.43	16.3	162	0.62
E312	46.44	12.8	165	0.61
E313	50.89	12.4	152	0.66
E314	44.59	10.3	161	0.62
E315	39.01	11.9	145	0.69
E316	49.26	14.6	149	0.67
E317	46.92	15.5	136	0.74
E318	42.08	12.9	145	0.69
E319	42.93	16.6	148	0.68
E32	42.08	12.4	150	0.67
E320	47.54	14.3	142	0.7
E321	47.93	13	145	0.69
E322	35.62	17.3	137	0.73
E323	39.85	19.7	153	0.65
E324	40.1	21.5	160	0.63
E325	39.6	15.6	153	0.65
E326	39.88	15.6	160	0.63
E327	41.91	11.3	149	0.67
E328	38	11.3	143	0.7
E329	50.62	12.4	157	0.64
E33	39.74	13.1	143	0.7
E330	47.16	13	146	0.68
E331	45.85	14.9	169	0.59
E332	39.96	15.2	133	0.75
E333	40.82	14.4	153	0.65
E334	40.26	9.9	154	0.65
E335	41.41	11.2	139	0.72
E336	37.55	12.9	176	0.57
E337	42.45	6.5	158	0.63
E338	35.88	12.8	146	0.68
E339	41.41	12.7	154	0.65
E34	43.26	13	148	0.68
E340	41.37	15.4	141	0.71
E341	37.93	13.6	172	0.58
E342	35.48	15.9	144	0.69
E343	42.76	15.3	168	0.6
E344	36.87	15.8	145	0.69
E345	44.59	14.1	155	0.65
E346	41.97	15.8	150	0.67
E347	37.47	17.4	157	0.64
E348	45.59	12.8	153	0.65
E349	35.62	14.1	140	0.71
E35	44.24	15.2	156	0.64
E350	40.77	12.7	153	0.65
E351	34.27	16.7	141	0.71
E353	46.68	13.3	146	0.68
E354	41.38	13.4	137	0.73
E356	51.02	12.7	142	0.7
E357	43.63	12.3	158	0.63
E358	38.64	17.5	147	0.68
E359	44.19	13.6	147	0.68
E36	51.45	13	140	0.71
E360	41.88	20.2	157	0.64
E361	42.22	14.9	152	0.66
E362	40.57	14.4	155	0.65
E363	41.42	13.1	139	0.72
E364	40.95	12.6	146	0.68
E365	46.44	14.4	154	0.65
E366	41.93	9.4	155	0.65
E367	37.51	19.9	177	0.56
E37	36.51	11.5	148	0.68
E370	39.74	17	163	0.61
E371	40.58	14.1	147	0.68
E372	38.88	13.9	163	0.61
E373	41.92	13.2	140	0.71
E38	38.34	10.9	165	0.61
E39	46.53	12.6	145	0.69
E4	48.87	13.4	155	0.65
E40	35.19	12.8	150	0.67
E42	34.42	17	143	0.7
E43	43.28	12.1	145	0.69
E44	45.34	11.1	158	0.63
E45	38.67	18.2	158	0.63
E46	47.64	9.6	145	0.69
E47	45.22	15.3	158	0.63
E48	34.38	11.8	147	0.68
E49	44.96	17.7	149	0.67
E5	44	18.6	158	0.63
E50	40.15	11.3	139	0.72
E51	46.92	13.8	149	0.67
E52	43.31	10.4	147	0.68
E53	37.29	13	154	0.65
E54	38.85	18.1	151	0.66
E55	42.49	11.5	136	0.74
E56	36.1	15.1	130	0.77
E57	42.25	14.8	154	0.65
E58	38.71	18.6	143	0.7
E59	43.5	11.5	171	0.58
E6	38.52	14.1	154	0.65
E60	42.95	13.9	161	0.62
E61	47.61	14.2	170	0.59
E62	34.69	13.4	160	0.63
E63	39.96	13.6	141	0.71
E64	30.97	20.4	141	0.71
E65	44.19	13.2	158	0.63
E66	43.69	12.2	157	0.64
E67	44.32	18.5	169	0.59
E68	35.66	15.1	161	0.62
E69	41.4	16.8	161	0.62
E7	31.83	14.3	145	0.69
E70	39.3	12.7	138	0.72
E71	47.69	11.3	154	0.65
E72	39.24	14.5	174	0.57
E73	43.48	14.5	150	0.67
E74	35.76	11	175	0.57
E75	36.61	20.5	168	0.6
E76	42.77	12.1	164	0.61
E77	33.98	22.1	149	0.67
E78	44.78	12.3	147	0.68
E79	42.68	20.6	162	0.62
E8	49.07	12	155	0.65
E81	42.09	12.7	171	0.58
E82	42	8.8	158	0.63
E83	42.94	18.7	154	0.65
E84	39.19	18.4	136	0.74
E85	36.65	16.8	139	0.72
E86	51.93	10.8	142	0.7
E87	51.86	13.3	163	0.61
E88	44.31	12.8	147	0.68
E89	47.08	10.4	150	0.67
E9	45.93	11.5	150	0.67
E90	47.05	14	141	0.71
E91	55.35	14.7	143	0.7
E95	35.02	12.9	155	0.65
E96	40.69	11.9	152	0.66
H374	44.46	15.9	171	0.58
H375	47.42	13.3	169	0.59
H376	44.04	13.7	145	0.69
H377	45.99	14.8	148	0.68
H378	40.59	13	148	0.68
H379	34.71	12.2	142	0.7
