INDEX	LAE	BF	D100	ADG
A177	36.1	15.19	165.2	0.61
A184	39.22	21.06	171.8	0.58
A185	36.28	15.94	177.6	0.56
A186	36.51	13.94	171.6	0.58
A189	39.63	23.1	167.2	0.6
A198	36.53	12.72	158.6	0.63
A199	33.71	21.54	157.8	0.63
A2	43.12	17.51	161.9	0.62
A201	44.98	14.35	164.3	0.61
A204	33.56	21	181.7	0.55
A205	34.64	12.7	168.9	0.59
A206	30.45	14.67	179.6	0.56
A21	34.88	17.78	154.6	0.65
A210	36.82	19.82	169.6	0.59
A212	29.27	16.12	170.3	0.59
A22	39.31	18.32	166.6	0.6
A221	38.49	9.74	153.2	0.65
A238	34.58	10.8	164	0.61
A25	31.19	17.07	169.6	0.59
A251	37.51	14.56	147.3	0.68
A265	30.08	14.19	187.1	0.53
A267	45.36	11.54	161	0.62
A269	49.48	17.13	187.2	0.53
A270	34.64	14.01	165.4	0.6
A272	34.45	18.93	154.8	0.65
A274	32.7	15.83	177.8	0.56
A28	39.01	15.14	184.2	0.54
A29	35.1	20.86	157.7	0.63
A291	39.53	14.75	154.9	0.65
A296	41.11	15.52	154.9	0.65
A3	43.56	18.42	175	0.57
A300	39.38	18.71	167.9	0.6
A301	40.53	22.8	165.3	0.6
A302	40.8	16.62	154.8	0.65
A304	35.97	19.6	172	0.58
A308	33.72	14.78	163.4	0.61
A311	39.19	15.95	170.8	0.59
A312	38.85	25.86	165.7	0.6
A313	39.33	17.74	159.1	0.63
A314	42.07	16.81	160.6	0.62
A317	48.75	15.68	177.2	0.56
A319	41.69	18.11	159	0.63
A321	37.02	20.06	170.1	0.59
A324	33.63	13.74	174.5	0.57
A337	36.12	13.28	172.4	0.58
A338	37.76	9.42	170.4	0.59
A339	38.9	14.56	167.6	0.6
A34	35.05	20.74	165.3	0.6
A349	39.48	14.85	155.6	0.64
A35	42.14	11.93	177.5	0.56
A351	30.78	15.2	167	0.6
A352	39	17.7	170.7	0.59
A354	38.19	13.1	162.6	0.62
A358	42.41	17.14	168.8	0.59
A359	41.73	15.13	168.1	0.59
A36	43.84	13.71	165.4	0.6
A360	40.62	17.36	158.8	0.63
A362	39.79	12.6	175.1	0.57
A364	40.29	14.41	188	0.53
A37	33.93	12.72	179.5	0.56
A38	34.93	16.77	162.5	0.62
A383	37.91	16.93	177.2	0.56
A384	44.65	18.45	170	0.59
A388	34.74	17.05	160.2	0.62
A390	38.67	18.53	163.2	0.61
A392	36.94	13.78	159.4	0.63
A398	34.64	15.27	152.3	0.66
A399	33.29	17.99	157.2	0.64
A403	36.08	28.67	150.8	0.66
A405	38.18	16.66	171.9	0.58
A406	38.84	16.12	148.4	0.67
A407	38.74	14.27	173.6	0.58
A409	36.23	15.68	152.2	0.66
A41	35.77	21.52	166.7	0.6
A410	39.77	18.93	151.1	0.66
A411	37.54	16.23	156.2	0.64
A412	41.26	22.08	140.2	0.71
A414	45.17	17.76	145.1	0.69
A416	43.03	16.21	171.2	0.58
A419	40.11	20.04	164.8	0.61
A42	38.23	19.81	161.7	0.62
A421	39.3	13.09	155.1	0.64
A422	43.64	10.76	150	0.67
A44	36.4	14.49	166.3	0.6
A45	40.12	16.19	141.3	0.71
A461	33.39	25.58	150.3	0.67
A463	34.37	22.9	158.7	0.63
A464	38.63	22.15	158.7	0.63
A47	36.67	15.08	153	0.65
A473	38.58	16.75	152.3	0.66
A481	39.67	16.26	157.1	0.64
A49	41.63	15.5	163.7	0.61
A5	41.08	17.44	163.2	0.61
A506	36.49	20.34	154.3	0.65
A52	41.26	18.28	156.6	0.64
A55	40.18	16.36	156.9	0.64
A56	38.28	19.73	156.6	0.64
A565	33.74	17.6	146.8	0.68
A566	35.97	15.81	179.1	0.56
A571	39.55	16.72	162.3	0.62
A58	40.04	16.81	146.6	0.68
A581	42.23	15.64	153.6	0.65
A61	42.65	12.18	166.5	0.6
A62	39.77	16.95	170.4	0.59
A629	35.13	20.34	163.8	0.61
A65	37.75	15.51	161.3	0.62
A655	38.4	15.89	153.6	0.65
A657	35.47	16.8	152	0.66
A659	34.46	15.41	149	0.67
A669	37.29	18.3	155.8	0.64
A671	41.07	17.92	146.6	0.68
A69	39.91	17.44	161.2	0.62
A695	39.93	18.24	165.5	0.6
A7	37.66	16.08	156.9	0.64
A709	40.75	13.09	185.4	0.54
A71	37.66	13.8	161.9	0.62
A710	37.82	15.94	150.1	0.67
A717	46.03	13.57	169.3	0.59
A72	36.58	14.55	155.2	0.64
A721	43.45	8.09	190.8	0.52
A73	37.05	22.9	163.6	0.61
A74	41.71	17.65	150	0.67
A75	36.86	14.95	175.5	0.57
A753	37.89	22.35	152.6	0.66
A79	39.75	15.93	149.6	0.67
A8	41.18	17.95	174.6	0.57
A802	33.03	18.23	156.1	0.64
A809	37.49	17.77	156.9	0.64
A817	35.81	18.5	159.1	0.63
A82	38.83	15.92	159.4	0.63
A828	36.43	15.84	145.6	0.69
A84	34.12	14.86	159.8	0.63
A847	38.09	16.36	141.1	0.71
A849	37.99	20.85	139.5	0.72
A85	48.8	24.07	180.6	0.55
A850	41.67	16.5	144.9	0.69
A856	34.69	21.54	142.4	0.7
A874	34.5	21.52	144.5	0.69
A875	34.48	17.81	178.1	0.56
A88	38.68	16.68	156.7	0.64
A89	34.94	15.77	158.4	0.63
A9	40.1	23.67	158.2	0.63
A910	41.01	21.72	181.2	0.55
A92	34.7	12.78	155.5	0.64
A938	37.75	15.57	154.7	0.65
A940	37.24	15.95	152.3	0.66
A95	30.94	17.04	159.7	0.63
A954	36.32	20.68	152.5	0.66
A963	37.6	17.57	155	0.65
A968	34.02	12.65	157.8	0.63
A975	34.41	15.34	165.2	0.61
A980	38.14	15.05	161.6	0.62
A987	38.13	15.41	165.4	0.6
A989	40.94	16.1	164.7	0.61
A990	37.1	16.78	148.7	0.67
A999	34.01	14.9	180.5	0.55
B102	45.03	13	211.32	0.47
B103	44.81	20.8	123.77	0.81
B105	37.26	22	136.47	0.73
B107	54.21	9.2	146.31	0.68
B11	41.23	11.9	120.17	0.83
B110	45.83	14	150.13	0.67
B112	49.37	15.8	134.83	0.74
B117	40.74	22.2	135.26	0.74
B12	45.85	16.4	108.28	0.92
B123	44.44	11.2	133.65	0.75
B124	34.6	26.9	113.14	0.88
B125	36.17	19.6	119.54	0.84
B126	52.95	13.9	141.02	0.71
B127	41.76	21.1	223.69	0.45
B128	45.62	18.1	131.54	0.76
B132	39.51	18.3	134.41	0.74
B135	43.44	18.2	148.42	0.67
B137	36.37	15.8	139.8	0.72
B138	37.22	22.7	112.54	0.89
B143	41.67	21.7	145.71	0.69
B145	38.18	18.1	117.87	0.85
B154	38.11	19.2	236.37	0.42
B156	34.6	17.5	135.66	0.74
B157	30.24	15.2	130.28	0.77
B164	43.23	21.9	161.29	0.62
B165	37.5	21.1	124.73	0.8
B166	44.46	16.4	157.63	0.63
B167	43.07	22.8	131.19	0.76
B169	47.32	15.4	210.91	0.47
B171	36.51	14.1	130.28	0.77
B174	37.18	17.2	129.98	0.77
B175	39.67	17.8	134.17	0.75
B176	41.19	13.3	142.25	0.7
B177	43.86	24	139	0.72
B18	43.35	13	136.8	0.73
B180	42.95	19.7	142.84	0.7
B182	39.11	22.5	135.16	0.74
B183	49.55	18.1	158.33	0.63
B185	41.47	14.9	161.82	0.62
B186	35.43	17	155.51	0.64
B187	47.76	16.2	127.5	0.78
B19	41.03	13.7	132.71	0.75
B195	41.53	20.1	160.76	0.62
B198	33.3	17.3	153.26	0.65
B222	42.62	15	120.39	0.83
B223	48.35	12.2	167.99	0.6
B230	43.01	17.9	145.1	0.69
B231	42.9	16.3	136.14	0.73
B233	41.79	21.1	149.72	0.67
B234	50.32	11.7	127.96	0.78
B238	46.52	13.9	140.89	0.71
B244	41.22	15.7	131.34	0.76
B246	41.51	14.4	132.41	0.76
B247	41.54	14.6	144.96	0.69
B248	45.38	13.6	144.5	0.69
B249	50.66	17.2	133.65	0.75
B25	37.74	16.4	137.81	0.73
B252	38.74	18.7	169.49	0.59
B255	33.42	20.2	149.26	0.67
B258	39.47	15.4	144.66	0.69
B26	44.29	15.4	138.16	0.72
B260	42.28	11.9	130.26	0.77
B262	43.36	14.1	126.25	0.79
B264	47.08	16.6	146.81	0.68
B267	49.84	12	129.24	0.77
B268	40.25	13.1	174.39	0.57
B269	44.43	16.7	141.21	0.71
B28	34.34	11.4	140.74	0.71
B283	39.4	11.5	174.08	0.57
B288	44.32	23.3	123.49	0.81
B290	46.17	20.4	128.02	0.78
B299	43.64	12.4	112.71	0.89
B3	44.46	12.6	120.44	0.83
B302	44.46	15.1	134.27	0.74
B305	49.52	22.8	131.22	0.76
B310	40.63	18.6	146.23	0.68
B315	45.22	17.3	141.02	0.71
B318	47.47	13.5	140.89	0.71
B32	39.13	15.5	129.68	0.77
B324	35.11	18.9	184.35	0.54
B33	38.79	16	149.44	0.67
B331	41.71	15.3	154.67	0.65
B334	36.23	17.3	204.62	0.49
B339	46.3	12.9	145.53	0.69
B345	43.14	15.4	131.25	0.76
B346	37.66	20.4	129.19	0.77
B352	49.34	19.1	130.28	0.77
B354	43.09	13.3	144.89	0.69
B357	47.85	17.4	130.29	0.77
B359	42.61	12	142.78	0.7
B36	38.82	12.9	164.4	0.61
B362	42.98	17.7	135.12	0.74
B364	41.78	24.1	136.54	0.73
B368	44.69	18	141.36	0.71
B369	47.99	15.7	128.09	0.78
B37	39.1	11.5	138.02	0.72
B373	43.96	20.5	161.03	0.62
B374	50.96	16.5	144.83	0.69
B375	38.99	19.1	143.58	0.7
B376	40.41	17.3	121.78	0.82
B378	43.07	17.5	135.42	0.74
B38	44.6	13.6	133.19	0.75
B385	41.18	17.2	160.89	0.62
B388	42.38	22.3	133.52	0.75
B39	39.26	14	123.13	0.81
B391	39.68	19.2	144.08	0.69
B395	41.62	17.5	159.94	0.63
B396	48.72	16.2	148.59	0.67
B397	45.19	14.2	150.26	0.67
B398	49.44	17.1	196.09	0.51
B399	46.89	19.8	177.97	0.56
B404	40.45	19.6	147.35	0.68
B406	47.89	16.8	148.33	0.67
B407	41.86	15.4	118.61	0.84
B408	42.6	17.7	125.48	0.8
B409	44.86	12.4	147.93	0.68
B41	39.13	9.8	155.56	0.64
B410	46	17.6	171.29	0.58
B413	44.91	13.9	172.86	0.58
B42	42.38	12.5	139.69	0.72
B421	36.28	18.4	165.43	0.6
B423	37	12.9	151.56	0.66
B424	41.07	15.8	145.26	0.69
B432	41.9	21.1	132.67	0.75
B437	39.99	15.1	171.53	0.58
B438	44.02	14.9	142.28	0.7
B44	41.79	16.3	142.15	0.7
B440	40.85	13.7	141.07	0.71
B444	40.63	14.6	141.36	0.71
B446	41.12	10.3	152.56	0.66
B448	42.68	12.9	172.51	0.58
B449	41.34	11.1	168.51	0.59
B454	52.66	19.6	172.06	0.58
B455	44.38	16.1	169.57	0.59
B456	40.34	11.9	194.05	0.52
B458	38.43	14.3	135.27	0.74
B46	38.38	13.9	140.15	0.71
B462	42.07	21.5	148.18	0.67
B465	46.91	22.3	131.25	0.76
B466	48.72	16.2	148.59	0.67
B467	47.11	13	146.21	0.68
B468	40.76	20.1	156	0.64
B470	40.25	16	140.03	0.71
B471	43.71	16.2	149.44	0.67
B472	44.14	16.3	154.22	0.65
B473	36.62	14.1	152.8	0.65
B474	43.83	16.8	139.85	0.72
B476	45.56	17.1	129.8	0.77
B478	35.91	16.7	125.63	0.8
B479	46.46	14.7	157.46	0.64
B48	43.14	13.2	152.12	0.66
B482	43.2	19.1	149.11	0.67
B485	42.21	18.3	138.07	0.72
B494	43.63	15.8	145.63	0.69
B497	47.33	23	117.76	0.85
B499	50.34	13.3	171.06	0.58
B5	40.32	16.5	147.54	0.68
B50	44.59	14.2	110.78	0.9
B505	38.58	14.8	146.68	0.68
B507	46.76	21.3	113.17	0.88
B508	39.91	13.1	115.25	0.87
B511	39.89	16.2	137.66	0.73
B518	42.13	20.7	121.39	0.82
B52	41.34	13.5	138.59	0.72
B520	46.88	19.1	112.07	0.89
B522	41.73	16.5	124.65	0.8
B523	40.69	12.6	130.74	0.76
B524	44.59	11	146.59	0.68
B526	30.53	12.5	147.74	0.68
B53	39.05	15.5	120.26	0.83
B532	46.62	9.1	167.5	0.6
B540	45.39	16.2	141.39	0.71
B546	51.36	11.9	145.6	0.69
B55	42.88	15.2	144.66	0.69
B554	43.59	21	186.25	0.54
B559	36.76	17.8	138.4	0.72
B562	38.29	19.2	112.28	0.89
B566	37.97	22	118.64	0.84
B569	50.83	11.5	171.76	0.58
B57	43.67	17.2	113.32	0.88
B571	46.25	11.8	107.93	0.93
B574	45.83	13.9	124.77	0.8
B58	42.3	12.4	136.14	0.73
B581	50.33	15.3	117.3	0.85
B586	48.26	16.4	117.5	0.85
B59	35.98	17.9	149.92	0.67
B593	56.08	18.1	116.68	0.86
B595	42.98	13.8	126.24	0.79
B599	44.32	14.4	134.22	0.75
B604	48.83	12.1	107.76	0.93
B605	51.63	15.3	137.53	0.73
B609	47.96	9	125.62	0.8
B619	39.87	19.3	130.61	0.77
B620	42.31	15.2	134.47	0.74
B621	39.41	15	145.66	0.69
B622	43.37	21	124.55	0.8
B624	39.06	15.6	130.88	0.76
B625	39.52	16.8	145.1	0.69
B626	43.78	14.4	156.38	0.64
B628	41.67	17	146.23	0.68
B630	39.55	12.4	167.5	0.6
B634	35.7	20.3	138.92	0.72
B637	37.17	18.2	126.31	0.79
B639	38.76	11.8	148.92	0.67
B640	40.35	16.4	102.08	0.98
B641	38.47	13.3	136.71	0.73
B642	45.48	17.4	134.01	0.75
B645	38.1	16.7	162	0.62
B646	35.52	15.1	193.51	0.52
B647	42.14	26.1	109.7	0.91
B648	34.85	21.2	159	0.63
B649	40.67	15.1	145.83	0.69
B652	30.85	13.6	168.49	0.59
B654	40.11	17.3	140.74	0.71
B656	35.45	20.8	183.15	0.55
B658	38.54	18.8	146.98	0.68
B66	44.64	17.4	126.5	0.79
B660	34.89	12.4	166.45	0.6
B661	45.66	18	133.69	0.75
B662	40.72	17.8	142.5	0.7
B663	39.81	13.7	157	0.64
B664	41.72	20.6	157	0.64
B665	38.63	20.1	123.68	0.81
B666	42.58	17.4	149.32	0.67
B667	39.12	12.4	158.08	0.63
B668	41.83	15.2	135.87	0.74
B670	41.23	13.1	134.06	0.75
B673	38.89	16.8	159.94	0.63
B675	35.74	22.3	120.39	0.83
B68	45.45	16.2	148.5	0.67
B680	41.01	17.4	158.87	0.63
B686	35.18	12.2	151.11	0.66
B688	39.26	21.4	142.15	0.7
B69	39.27	12.5	179.12	0.56
B690	38.43	18.2	135.54	0.74
B691	47.87	17.8	149.88	0.67
B695	37.88	11.3	158.54	0.63
B696	38.95	14.2	155.2	0.64
B698	39.39	11	140.87	0.71
B699	29.67	21.5	158.7	0.63
B702	41.71	11.7	129.98	0.77
B704	34.71	20.3	132.42	0.76
B706	39.41	16.1	134.86	0.74
B708	35.82	14.9	112.68	0.89
B709	38.69	20.4	116.83	0.86
B711	40.57	14.9	127.01	0.79
B713	45.28	13.9	151.82	0.66
B717	36.91	22.4	121.39	0.82
B722	36.94	15	103.19	0.97
B725	41.6	15	138.59	0.72
B729	38.47	17.2	155.32	0.64
B73	45.7	12.5	121.39	0.82
B732	32.88	14.6	132.4	0.76
B734	50.19	14.4	123.64	0.81
B737	51.12	10.9	150.94	0.66
B742	50	12.6	132.12	0.76
B745	46.97	12.4	122.27	0.82
B746	46.06	12.4	131.54	0.76
B75	47.64	14.6	125.55	0.8
B757	46.09	13.2	119.82	0.83
B758	42.29	14.5	106.46	0.94
B761	47.49	12.6	136.66	0.73
B768	52.06	13	130.46	0.77
B769	46.17	13.1	136.91	0.73
B770	46.59	14.4	133.32	0.75
B771	44.95	14	121.77	0.82
B775	55.25	12.4	124.99	0.8
B778	44.19	12.1	138.75	0.72
B779	47.18	15.2	98.09	1.02
B78	45.75	12.9	126.41	0.79
B780	51.22	10.6	124.91	0.8
B782	49.57	15.7	153.58	0.65
B785	48.04	16	136.66	0.73
B788	49.56	10.3	136.35	0.73
B8	43.63	16.5	131.2	0.76
B806	50.16	16.9	149.98	0.67
B809	42.2	11.8	137.84	0.73
B810	48.22	14.3	139.44	0.72
B815	43.62	17.6	137.01	0.73
B818	41.95	12.7	132.18	0.76
B82	44.89	14.4	150.7	0.66
B820	46.51	22.2	127.47	0.78
B823	34.65	13.3	187.66	0.53
B827	44.18	14.3	130.53	0.77
B831	42.25	14.7	134.35	0.74
B85	45.81	13.4	140.87	0.71
B86	45.51	14.4	129.92	0.77
B89	42.99	16.5	157.59	0.63
B9	39.35	12.8	117.93	0.85
B90	45.91	14.7	129.75	0.77
